Jennings,0.039,28.511,28.511
Barnett,0.039,28.55,28.550
Graves,0.039,28.589,28.589
Jimenez,0.039,28.628,28.628
Horton,0.039,28.667,28.667
Shelton,0.039,28.706,28.706
Barrett,0.039,28.745,28.745
Obrien,0.039,28.784,28.784
Castro,0.039,28.823,28.823
Sutton,0.038,28.861,28.861
Gregory,0.038,28.899,28.899
Mckinney,0.038,28.937,28.937
Lucas,0.038,28.975,28.975
Miles,0.038,29.013,29.013
Craig,0.038,29.051,29.051
Rodriquez,0.037,29.088,29.088
Chambers,0.037,29.125,29.125
Holt,0.037,29.162,29.162
Lambert,0.037,29.199,29.199
Fletcher,0.037,29.236,29.236
Watts,0.037,29.273,29.273
Bates,0.037,29.31,29.310
Hale,0.037,29.347,29.347
Rhodes,0.037,29.384,29.384
Pena,0.037,29.421,29.421
Beck,0.037,29.458,29.458
Newman,0.036,29.494,29.494
Haynes,0.036,29.53,29.530
Mcdaniel,0.036,29.566,29.566
Mendez,0.036,29.602,29.602
Bush,0.036,29.638,29.638
Vaughn,0.036,29.674,29.674
Parks,0.035,29.709,29.709
Dawson,0.035,29.744,29.744
Santiago,0.035,29.779,29.779
Norris,0.035,29.814,29.814
Hardy,0.035,29.849,29.849
Love,0.035,29.884,29.884
Steele,0.035,29.919,29.919
Curry,0.035,29.954,29.954
Powers,0.035,29.989,29.989
Schultz,0.035,30.024,30.024
Barker,0.035,30.059,30.059
Guzman,0.034,30.093,30.093
Page,0.034,30.127,30.127
Munoz,0.034,30.161,30.161
Ball,0.034,30.195,30.195
Keller,0.034,30.229,30.229
Chandler,0.034,30.263,30.263
Weber,0.034,30.297,30.297
Leonard,0.034,30.331,30.331
Walsh,0.033,30.364,30.364
Lyons,0.033,30.397,30.397
Ramsey,0.033,30.43,30.430
Wolfe,0.033,30.463,30.463
Schneider,0.033,30.496,30.496
Mullins,0.033,30.529,30.529
Benson,0.033,30.562,30.562
Sharp,0.033,30.595,30.595
Bowen,0.033,30.628,30.628
Daniel,0.033,30.661,30.661
Barber,0.032,30.693,30.693
Cummings,0.032,30.725,30.725
Hines,0.032,30.757,30.757
Baldwin,0.032,30.789,30.789
Griffith,0.032,30.821,30.821
Valdez,0.032,30.853,30.853
Hubbard,0.032,30.885,30.885
Salazar,0.032,30.917,30.917
Reeves,0.032,30.949,30.949
Warner,0.031,30.98,30.980
Stevenson,0.031,31.011,31.011
Burgess,0.031,31.042,31.042
Santos,0.031,31.073,31.073
Tate,0.031,31.104,31.104
Cross,0.031,31.135,31.135
Garner,0.031,31.166,31.166
Mann,0.031,31.197,31.197
Mack,0.031,31.228,31.228
Moss,0.031,31.259,31.259
Thornton,0.031,31.29,31.290
Dennis,0.031,31.321,31.321
Mcgee,0.031,31.352,31.352
Farmer,0.03,31.382,31.382
Delgado,0.03,31.412,31.412
Aguilar,0.03,31.442,31.442
Vega,0.03,31.472,31.472
Glover,0.03,31.502,31.502
Manning,0.03,31.532,31.532
Cohen,0.03,31.562,31.562
Harmon,0.03,31.592,31.592
Rodgers,0.03,31.622,31.622
Robbins,0.03,31.652,31.652
Newton,0.03,31.682,31.682
Todd,0.03,31.712,31.712
Blair,0.03,31.742,31.742
Higgins,0.03,31.772,31.772
Ingram,0.03,31.802,31.802
Reese,0.03,31.832,31.832
Cannon,0.03,31.862,31.862
Strickland,0.03,31.892,31.892
Townsend,0.03,31.922,31.922
Potter,0.03,31.952,31.952
Goodwin,0.03,31.982,31.982
Walton,0.03,32.012,32.012
Rowe,0.029,32.041,32.041
Hampton,0.029,32.07,32.070
Ortega,0.029,32.099,32.099
Patton,0.029,32.128,32.128
Swanson,0.029,32.157,32.157
Joseph,0.029,32.186,32.186
Francis,0.029,32.215,32.215
Goodman,0.029,32.244,32.244
Maldonado,0.029,32.273,32.273
Yates,0.029,32.302,32.302
Becker,0.029,32.331,32.331
Erickson,0.029,32.36,32.360
Hodges,0.029,32.389,32.389
Rios,0.029,32.418,32.418
Conner,0.029,32.447,32.447
Adkins,0.029,32.476,32.476
Webster,0.028,32.504,32.504
Norman,0.028,32.532,32.532
Malone,0.028,32.56,32.560
Hammond,0.028,32.588,32.588
Flowers,0.028,32.616,32.616
Cobb,0.028,32.644,32.644
Moody,0.028,32.672,32.672
Quinn,0.028,32.7,32.700
Blake,0.028,32.728,32.728
Maxwell,0.028,32.756,32.756
